9 bcdefghi,aihdc,abd,acbhgfe,adf,aedg,afdh,agdbi,ahb
9 bcdefg,ahdc,abd,acbe,adf,aehig,afi,bif,fhg
9 bcdefgh,ahgi,aiged,ace,adcf,aeg,afcibh,agb,bgc
9 bcdefgh,ahfi,aid,acie,adf,aeibhg,afh,agfb,bfdc
9 bcdefg,agfh,aid,acie,adf,aeihbg,afb,bfi,chfd
9 bcdefgh,ahc,abhd,achi,aif,aeig,afh,agdcb,dfe
9 bcdefg,agfh,aid,acie,adf,aehbg,afb,bfi,chd
9 bcdef,afg,ahd,ache,adf,aeigb,bfi,cid,fhg
9 bcdefghi,aic,abid,acie,adgf,aeg,afeh,agi,ahdcb
9 bcdefghi,aic,abid,ace,adgf,aeg,afeh,agi,ahcb
9 bcdefghi,aic,abid,aci,aigf,aeg,afeih,agi,ahgedcb
9 bcdefgh,ahi,aid,acihgfe,adf,aedg,afd,adib,bhdc
9 bcdefgh,ahi,aih,ahfe,adf,aedhg,afh,agfdcib,bhc
9 bcdefg,agh,ahd,achgfie,adi,aid,adhb,bgdc,dfe
9 bcdefg,agh,ahd,achfie,adi,aid,ahb,bgdc,dfe
9 bcdefg,agh,ahd,acgfie,adi,aid,adhb,bgc,dfe
9 bcdefgh,ahc,abhed,ace,adcgif,aei,aie,acb,egf
9 bcdefgh,ahc,abhd,ace,adgif,aei,aie,acb,egf
9 bcdefgh,aic,abied,ace,adcihgf,aeg,afeh,age,bec
9 bcdefghi,aic,abid,ace,adihgf,aeg,afeh,age,aecb
9 bcdefgh,ahi,aid,achgfe,adf,aedg,afd,adib,bhc
9 bcdefg,ahi,aid,achgfe,adf,aedg,afd,bdi,bhc
9 bcdefgh,ahi,aih,ahfe,adf,aedg,afh,agdcib,bhc
9 bcdefgh,aic,abid,ace,adihgf,aeg,afeh,age,bec
9 bcdefghi,aic,abied,ace,adchgf,aeg,afeh,age,acb
9 bcdefghi,aic,abid,ace,adhgf,aeg,afeh,age,acb
9 bcdefghi,aic,abied,ace,adcihf,aeg,afh,age,aecb
9 bcdefgh,ahi,aid,acihge,adf,aeg,afd,adib,bhdc
9 bcdefg,ahi,aid,acihge,adf,aeg,afd,bdi,bhdc
9 bcdefgh,aic,abied,ace,adcihf,aeg,afh,age,bec
9 bcdefghi,aic,abid,ace,adihf,aeg,afh,age,aecb
9 bcdefgh,ahi,aid,achge,adf,aeg,afd,adib,bhc
9 bcdefg,ahi,aid,achge,adf,aeg,afd,bdi,bhc
9 bcdefgh,aic,abid,ace,adihf,aeg,afh,age,bec
9 bcdefghi,aic,abied,ace,adchgf,aeg,afeh,agei,ahcb
9 bcdefgh,ahi,aid,acigfe,adf,aedg,afdh,agib,bhdc
9 bcdefg,ahi,aid,acie,adif,aehg,afh,bgfi,bhedc
9 bcdef,afgh,ahi,aig,agf,aegb,bfedi,bic,chgd
9 bcde,aefg,ahi,aif,afb,bedig,bfh,cgi,chfd
9 bcdefg,ageh,ahi,aie,adibgf,aeg,afeb,bic,ched
9 bcdef,afeg,ahi,aie,adigbf,aeb,beh,cgi,ched
9 bcdefg,agc,abgd,ach,ahi,aig,aficb,die,ehgf
9 bcdefgh,ahi,aid,acie,adif,aehg,afh,agfib,bhedc
9 bcdefg,ahi,aihd,acfe,adf,aedhg,afh,bgfci,bhc
9 bcdef,agdc,abd,acbhe,adh,ahi,bih,dgife,fhg
9 bcdefg,aghi,aied,ace,adchf,aeh,ahb,bgfei,bhc
9 bcdefg,aghi,aid,acihe,adh,ahg,afhb,bgfed,bdc
9 bcdef,afgh,aid,acige,adg,agb,bfedh,bgi,chd
9 bcde,afg,ahd,achfe,adf,bedig,bfi,cid,fhg
9 bcdefgh,ahi,aihd,acfe,adf,aedhg,afh,agfcib,bhc
9 bcdefg,ahdc,abd,acbfe,adf,aedhig,afi,bif,fhg
9 bcdefgh,ahgi,aied,ace,adcgf,aeg,afeibh,agb,bgc
9 bcdefgh,ahgi,aied,ace,adcf,aeg,afibh,agb,bgc
9 bcdefgh,ahfi,aid,acife,adf,aedbhg,afh,agfb,bdc
9 bcdefg,agfh,aid,acife,adf,aedhbg,afb,bfi,chd
9 bcdef,afg,ahd,achfe,adf,aedigb,bfi,cid,fhg
9 bcdefghi,aic,abid,ace,adigf,aeg,afeih,agi,ahgecb
9 bcdefgh,ahi,aid,acihfe,adf,aedg,afh,agdib,bhdc
9 bcdefg,ahi,aid,acie,adf,aeihg,afh,bgfi,bhfdc
9 bcdefg,ahi,aid,acie,adf,aehg,afh,bgfi,bhdc
9 bcdefgh,aic,abied,ace,adcf,aeg,afih,agi,bhgc
9 bcdefgh,ahi,aid,acie,adf,aeihg,afh,agfib,bhfdc
9 bcdefgh,ahi,aid,achfe,adf,aedhg,afh,agfdib,bhc
9 bcdefg,agh,ahi,aie,adhgf,aeg,afehb,bgeic,chd
9 bcdefgh,ahc,abhid,aci,aif,aehg,afh,agfcb,ced
9 bcdefgh,ahi,aid,acife,adf,aedihg,afh,agfb,bfdc
9 bcdefg,agh,ahd,ache,adi,aig,afihb,bgidc,ehgf
9 bcdefghi,aic,abged,ace,adcf,aeg,afcih,agi,ahgb
9 bcdefgh,ahi,aid,achfe,adf,aedg,afh,agdib,bhc
9 bcdefg,ahi,aid,acie,adf,aeihg,afh,bgf,bfdc
9 bcdefg,agh,ahd,acgie,adi,aig,afdhb,bgc,dfe
9 bcdefg,agh,ahi,aie,adhgf,aeg,afeb,beic,chd
9 bcdef,agh,ahd,ache,adi,aig,bfi,bidc,ehgf
9 bcdefgh,ahi,aid,acie,adf,aeihg,afh,agfb,bfdc
9 bcdefg,agh,ahd,ache,adi,aig,afib,bidc,ehgf
9 bcdefghi,aic,abied,ace,adcgf,aeg,afeh,agi,ahcb
9 bcdefghi,aic,abied,ace,adcihf,aeg,afh,agei,ahecb
9 bcdefgh,ahi,aid,acihge,adf,aeg,afdh,agdib,bhdc
9 bcdefgh,ahi,aid,acihe,adf,aeg,afh,agdib,bhdc
9 bcdefgh,ahi,aid,acie,adf,aeg,afh,agib,bhdc
9 bcdefg,ahi,aid,ace,adif,aeihg,afh,bgfi,bhfec
9 bcdef,afg,aghid,aci,aih,ahb,bhc,cgfei,ched
9 bcde,afg,agh,ahe,adi,bihg,bfhc,cgfid,ehf
9 bcdef,afgh,ahi,aig,agf,aeb,bedih,bgic,chgd
9 bcdef,afg,agh,ahi,aif,aeb,bihc,cgid,dhge
9 bcdefg,agh,ahfid,aci,aif,aeichg,afb,bfc,cfed
9 bcdef,agh,ahd,achgie,adf,aei,bidh,bgdc,dgf
9 bcdefg,ageh,ahi,aie,adihbf,aeg,afb,beic,ched
9 bcdefg,agh,ahi,aie,adihf,aeg,afb,beic,ched
9 bcdefgh,ahi,aid,ace,adif,aeihg,afh,agfib,bhfec
9 bcdefg,agh,ahied,ace,adcif,aei,aib,bic,chgfe
9 bcdef,agc,abghd,ach,ahf,aei,bihc,cgied,fhg
9 bcdefg,aghi,aid,acihe,adh,ahg,afb,bfedi,bhdc
9 bcdefg,agh,ahd,achie,adi,aig,afb,bidc,dhfe
9 bcdefgh,ahi,aiged,ace,adcgf,aeg,afecih,agb,bgc
9 bcdefg,ahc,abhed,ace,adchif,aeg,afi,biec,ehg
9 bcdefgh,ahfi,aid,acife,adf,aedibg,afh,agb,bfdc
9 bcdefgh,ahc,abi,aie,adigf,aeg,afeih,agb,cged
9 bcdefghi,aic,abhd,achfe,adf,aedg,afh,agdci,ahb
9 bcdefgh,ahi,aid,achge,adf,aeg,afdh,agdib,bhc
9 bcdefgh,ahi,aid,acge,adf,aeg,afdh,agib,bhc
9 bcdefg,ahi,aid,ace,adif,aeihg,afh,bgf,bfec
9 bcdefg,ahi,aid,ace,adif,aehg,afh,bgf,bec
9 bcdef,afg,aghid,aci,aih,ahb,bhc,cgfe,ced
9 bcdef,afg,aghd,ach,ahi,aib,bic,ced,egf
9 bcde,afg,agh,ahe,adi,big,bfc,cid,ehf
9 bcde,afg,agh,ahe,adi,bihg,bfc,cfid,ehf
9 bcdef,afgh,ahi,aig,agf,aeb,bedh,bgic,chd
9 bcdefg,agh,ahfid,aci,aif,aechg,afb,bfc,ced
9 bcdefg,agh,ahid,aci,aif,aehg,afb,bfc,ced
9 bcdef,agh,ahd,acie,adf,aei,bih,bgc,dgf
9 bcdef,agh,ahd,acgie,adf,aei,bidh,bgc,dgf
9 bcdefg,ageh,ahi,aie,adhbf,aeg,afb,beic,chd
9 bcdefg,ageh,ahi,aie,adbf,aeg,afb,bic,chd
9 bcdefgh,ahi,aid,ace,adif,aeihg,afh,agfb,bfec
9 bcdefg,agh,ahied,ace,adcf,aei,aib,bic,chgf
9 bcdef,agc,abgd,ach,ahf,aei,bihc,dgie,fhg
9 bcdefg,aghi,aid,acie,adh,ahg,afb,bfei,bhdc
9 bcdefgh,ahi,aiged,ace,adcf,aeg,afcih,agb,bgc
9 bcdefg,ahc,abhd,ace,adhif,aeg,afi,biec,ehg
9 bcdefgh,ahfi,aid,acie,adf,aeibg,afh,agb,bfdc
9 bcdefgh,ahc,abgi,aie,adif,aeg,afch,agb,ced
9 bcdefghi,aic,abhd,acfe,adf,aedg,afh,agci,ahb
9 bcdefghi,aic,abd,achfe,adf,aedhg,afh,agfdi,ahb
9 bcdefghi,aih,ahd,achfe,adf,aedhg,afh,agfdcbi,ahb
9 bcdefgh,ahi,aid,acihgfe,adf,aed,adh,agdib,bhdc
9 bcdefg,ahi,aid,aci,aif,aeihg,afh,bgfi,bhfedc
9 bcdefg,aeh,ahi,aie,adihbgf,aeg,afe,beic,ched
9 bcdefg,aeh,ahi,aie,adibgf,aeg,afe,bic,ched
9 bcdef,agh,ahd,ach,ahi,aig,bfih,bgiedc,ehgf
9 bcdef,agh,ahd,ach,ahi,aig,bfih,bgedc,egf
9 bcdef,agh,ahd,ach,ahi,aig,bfi,bedc,egf
9 bcdefg,ahc,abifed,ace,adc,aci,aih,bgi,chgf
9 bcdefg,ahc,abfed,ace,adc,aci,aih,bgi,fhg
9 bcdefgh,ahi,aid,aci,aif,aeihg,afh,agfib,bhfedc
9 bcdefgh,afi,aid,acife,adf,aedibhg,afh,agf,bfdc
9 bcdefghi,aic,abgfed,ace,adc,acg,afcih,agi,ahgb
9 bcdefgh,ahi,aid,achgfe,adf,aed,adh,agdib,bhc
9 bcdefgh,ahi,aid,acgfe,adf,aed,adh,agib,bhc
9 bcdefg,ahi,aid,aci,aif,aeihg,afh,bgf,bfedc
9 bcdefg,ahi,aid,aci,aif,aehg,afh,bgf,bedc
9 bcdefgh,afi,aid,acie,adf,aeibhg,afh,agf,bfdc
9 bcdefghi,aic,abfed,ace,adc,acg,afih,agi,ahgb
9 bcdefghi,aic,abifed,ace,adc,acg,afih,agi,ahgcb
9 bcdefgh,ahi,aid,acigfe,adf,aed,adh,agib,bhdc
9 bcdefg,ahi,aid,aci,aif,aehg,afh,bgfi,bhedc
9 bcdefgh,ahi,aid,aci,aif,aehg,afh,agfib,bhedc
9 bcdefgh,afi,aid,acife,adf,aedbhg,afh,agf,bdc
9 bcdefgh,ahc,abfed,ace,adc,aci,aih,agib,fhg
9 bcdefghi,aihc,abhgfed,ace,adcf,aecg,afch,agcbi,ahb
9 bcdefgh,ahi,aihgfed,ace,adcf,aecg,afch,agcib,bhc
9 bcdefg,ahc,abhd,ache,adhf,aehig,afi,bifedc,fhg
9 bcdefgh,ahgi,aid,acie,adif,aeig,afibh,agb,bgfedc
9 bcdefg,aghi,aihed,ace,adch,ahg,afhb,bgfeci,bhc
9 bcdefgh,ahi,aihd,ache,adhgf,aeg,afeh,agedcib,bhc
9 bcdefg,agfh,ahi,aihe,adhf,aehbg,afb,bfedic,chd
9 bcdef,aghc,abhed,ace,adch,ahi,bih,bgifec,fhg
9 bcdef,aghc,abhed,ace,adc,ahi,bih,bgifc,fhg
9 bcdefg,ahfc,abfed,ace,adcf,aecbhig,afi,bif,fhg
9 bcdef,agedc,abd,acbe,adbghif,aei,bhe,egi,ehf
9 bcde,afc,abfd,acfghie,adi,bgdc,dfh,dgi,dhe
9 bcdefg,ahfi,aifed,ace,adcf,aecibhg,afh,bgf,bfc
9 bcdef,afeg,agh,ahgi,aigbf,aeb,beidhc,cgd,dge
9 bcdef,afe,agh,ahgi,aigbf,aeb,ceidh,cgd,dge
9 bcdefg,agf,afheid,aci,aich,ahcbg,afb,cfe,ced
9 bcdefg,agfc,abheid,aci,aich,ahbg,afb,cfe,ced
9 bcdef,afeg,agh,ahgi,aibf,aeb,bidhc,cgd,dge
9 bcdefg,ageh,ahd,ache,adhbgif,aei,aieb,bedc,egf
9 bcdef,afgh,ahi,aihe,adhg,agb,bfeh,bgedic,chd
9 bcde,afgh,ahd,achg,agi,big,bfiedh,bgdc,egf
9 bcde,afgh,ahd,ach,agi,big,bfieh,bgdc,egf
9 bcde,afgh,ahd,ach,agi,big,bfie,bdc,egf
9 bcde,afgh,aid,acig,agf,beg,bfedih,bgi,chgd
9 bcde,afgh,aid,aci,agf,beg,bfeih,bgi,chgd
9 bcdef,aghc,abhi,aie,adi,ahg,bfh,bgfic,ched
9 bcdef,ageh,ahd,ache,adhbgif,aei,bie,bedc,egf
9 bcdef,ageh,aid,acie,adihbgf,aeg,bfe,bei,ched
9 bcdefgh,ahgi,aigd,acgfe,adf,aedg,afdcibh,agb,bgc
9 bcdefg,agfh,ahd,achi,aihf,aehbg,afb,bfeidc,dhe
9 bcdefg,ahedc,abd,acbe,adbhigf,aeg,afei,bie,ehg
9 bcdefg,ahei,aid,acie,adibhgf,aeg,afeh,bge,bedc
9 bcdef,afgh,ahd,achi,aihg,agb,bfeh,bgeidc,dhe
9 bcdef,afg,ahd,achi,aihg,agb,bfeh,cgeid,dhe
9 bcdefgh,ahfi,aifed,ace,adcf,aecibhg,afh,agfb,bfc
9 bcdefgh,ahei,aid,acie,adibhgf,aeg,afeh,ageb,bedc
9 bcdefg,aghi,aid,acie,adif,aeih,ahb,bgfi,bhfedc
9 bcdef,afgh,aid,acig,agf,aegb,bfedih,bgi,chgd
9 bcde,aefg,ahd,achf,afb,bedhig,bfi,cifd,fhg
9 bcdefg,ageh,aid,acie,adihbgf,aeg,afeb,bei,ched
9 bcdef,afeg,ahd,ache,adhigbf,aeb,bei,cied,ehg
9 bcdefghi,aic,abid,acie,adif,aeihg,afh,agf,afedcb
9 bcdefgh,aic,abid,acie,adif,aeihg,afh,agf,bfedc
9 bcdefgh,ahi,aihd,ache,adhgf,aeg,afe,aedcib,bhc
9 bcdefg,ahi,aihd,ache,adhgf,aeg,afe,bedci,bhc
9 bcdefg,ahfc,abfed,ace,adc,acbhig,afi,bif,fhg
9 bcdef,agedc,abd,acb,abghif,aei,bhe,egi,ehf
9 bcde,afc,abf,afghie,adi,bgdc,dfh,dgi,dhe
9 bcdefgh,ahgi,aigd,acgfe,adf,aed,adcibh,agb,bgc
9 bcdefg,ahc,abhi,aihe,adhgf,aeg,afe,bedic,chd
9 bcdefg,ahedc,abd,acb,abhigf,aeg,afei,bie,ehg
9 bcdefgh,ahfi,aifed,ace,adc,acibhg,afh,agfb,bfc
9 bcdefg,ahc,abhd,achi,aihgf,aeg,afe,beidc,dhe
9 bcdefghi,aic,abid,acie,adi,aihg,afh,agfi,ahfedcb
9 bcdefgh,ahi,aihgfed,ace,adcf,aecg,afc,acib,bhc
9 bcdefg,ahc,abhd,ache,adh,ahig,afi,bifedc,fhg
9 bcdefgh,ahgi,aid,acie,adif,aei,aibh,agb,bgfedc
9 bcdefgh,ahi,aihd,ach,ahgf,aeg,afeh,agedcib,bhc
9 bcdefg,agfh,ahi,aihe,adh,ahbg,afb,bfedic,chd
9 bcdef,agh,ahed,ace,adch,ahi,bih,bgifec,fhg
9 bcdef,agh,aed,ace,adch,ahi,bih,bgife,fhg
9 bcdefg,ahf,afed,ace,adcf,aecbhig,afi,bif,fhg
9 bcdefg,ahf,aed,ace,adcf,aebhig,afi,bif,fhg
9 bcdefgh,ahf,aed,ace,adcf,aebhig,afi,aifb,fhg
9 bcdefgh,ahgi,aig,agfe,adf,aedg,afdcibh,agb,bgc
9 bcdefgh,ahc,abhi,aih,agf,aeg,afeh,agdicb,chd
9 bcdefgh,aic,abid,acihgfe,adf,aedg,afdh,agd,bdc
9 bcdefghi,aic,abi,aihgfe,adf,aedg,afdh,agd,adcb
9 bcdefgh,aic,abid,acie,adi,aihg,afh,agf,bfedc
9 bcdefgh,ahi,aihd,ach,ahgf,aeg,afe,aedcib,bhc
9 bcdefg,ahi,aihd,ach,ahgf,aeg,afe,bedci,bhc
9 bcdefg,ahf,afed,ace,adc,acbhig,afi,bif,fhg
9 bcdefgh,ahgi,aig,agfe,adf,aed,adcibh,agb,bgc
9 bcdefg,ahc,abhi,aih,ahgf,aeg,afe,bedic,chd
9 bcdefgh,aic,abi,aihgfe,adf,aedg,afdh,agd,bdc
9 bcdefg,ahc,abhd,ache,adh,aig,afi,biedc,fhg
9 bcdefghi,aic,abid,acie,adi,ahg,afh,agfi,ahedcb
9 bcdefghi,aic,abid,ace,adi,aihg,afh,agfi,ahfecb
9 bcdefgh,ahi,aihged,ace,adcf,aeg,afc,acib,bhc
9 bcdefg,ahc,abhd,ace,adh,ahig,afi,bifec,fhg
9 bcdefg,ahi,aihged,ace,adcf,aeg,afc,bci,bhc
9 bcdefgh,ahi,aid,ach,ahgf,aeg,afeh,agedib,bhc
9 bcdefg,agh,ahgfid,aci,aif,aec,achb,bgc,ced
9 bcdef,agh,ahd,acg,agif,aei,biedh,bgc,egf
9 bcdefg,ahc,abhd,achgie,adi,aig,afd,bdc,dfe
9 bcdefgh,ahc,abhd,acgie,adi,aig,afd,acb,dfe
9 bcdefgh,aic,abid,acihfe,adf,aedg,afh,agd,bdc
9 bcdefghi,aic,abi,aihfe,adf,aedg,afh,agd,adcb
9 bcdefgh,aic,abid,ace,adi,aihg,afh,agf,bfec
9 bcdefgh,ahi,aid,ach,ahgf,aeg,afe,aedib,bhc
9 bcdefg,ahi,aid,ach,ahgf,aeg,afe,bedi,bhc
9 bcdefg,ahc,abh,ahgie,adi,aig,afd,bdc,dfe
9 bcdef,agh,ahd,acg,aif,aei,bidh,bgc,egf
9 bcdefgh,aic,abi,aihfe,adf,aedg,afh,agd,bdc
9 bcdefg,ahc,abhd,ace,adh,aig,afi,biec,fhg
9 bcdefghi,aic,abid,ace,adi,ahg,afh,agfi,ahecb
9 bcdefghi,aic,abd,acie,adi,aihg,afh,agfi,ahfedb
9 bcdefgh,ahi,aihgfd,ace,adf,aecg,afc,acib,bhc
9 bcdefgh,ahi,aihgd,ace,adf,aeg,afc,acib,bhc
9 bcdefg,ahc,abd,ace,adh,ahig,afi,bife,fhg
9 bcdefg,ahi,aihgd,ace,adf,aeg,afc,bci,bhc
9 bcdef,agc,abd,ace,adg,ahi,bihe,fgi,fhg
9 bcdefg,ahc,abd,ache,adh,ahig,afi,bifed,fhg
9 bcdefg,ahi,aihgfd,ace,adf,aecg,afc,bci,bhc
9 bcdef,agc,abd,acge,adg,ahi,bihed,fgi,fhg
9 bcdefgh,ahgi,aid,ace,adif,aei,aibh,agb,bgfec
9 bcdefgh,ahc,abhi,aie,adf,aeg,afi,aicb,chgd
9 bcdefgh,ahi,aig,agfe,adf,aedg,afdcih,agb,bgc
9 bcdefg,agfh,ahd,aci,aih,ahbg,afb,bfeic,dhe
9 bcdefgh,ahc,abhd,acgie,adf,aei,aid,acb,dgf
9 bcdefgh,aic,abid,acihge,adf,aeg,afdh,agd,bdc
9 bcdefghi,aic,abi,aihge,adf,aeg,afdh,agd,adcb
